,Ranking,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Final Rankings
0,1,Mississippi State,Mississippi State,Mississippi State,Alabama,Alabama,Alabama,Alabama,Alabama
1,2,Florida State,Florida State,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
2,3,Auburn,Auburn,Florida State,Florida State,Florida State,TCU,Florida State,Florida State
3,4,Ole Miss,Oregon,TCU,Mississippi State,Mississippi State,Florida State,Ohio State,Ohio State
4,5,Oregon,Alabama,Alabama,TCU,TCU,Ohio State,Baylor,Baylor
5,6,Alabama,TCU,Arizona State,Ohio State,Ohio State,Baylor,TCU,TCU
6,7,TCU,Kansas State,Baylor,Baylor,Baylor,Arizona,Mississippi State,Mississippi State
7,8,Michigan State,Michigan State,Ohio State,Ole Miss,UCLA,Michigan State,Michigan State,Michigan State
8,9,Kansas State,Arizona State,Auburn,UCLA,Georgia,Kansas State,Ole Miss,Ole Miss
9,10,Notre Dame,Notre Dame,Ole Miss,Georgia,Michigan State,Mississippi State,Arizona,Arizona
10,11,Georgia,Ole Miss,UCLA,Michigan State,Arizona,Georgia Tech,Kansas State,Kansas State
11,12,Arizona,Baylor,Michigan State,Kansas State,Kansas State,Ole Miss,Georgia Tech,Georgia Tech
12,13,Baylor,Nebraska,Kansas State,Arizona State,Arizona State,Wisconsin,Georgia,Georgia
13,14,Arizona State,Ohio State,Arizona,Auburn,Wisconsin,Georgia,UCLA,UCLA
14,15,Nebraska,Oklahoma,Georgia,Arizona,Auburn,UCLA,Arizona State,Arizona State
15,16,Ohio State,LSU,Nebraska,Wisconsin,Georgia Tech,Missouri,Missouri,Missouri
16,17,Utah,Utah,LSU,Utah,Missouri,Arizona State,Clemson,Clemson
17,18,Oklahoma,UCLA,Notre Dame,Georgia Tech,Minnesota,Clemson,Wisconsin,Wisconsin
18,19,LSU,Arizona,Clemson,USC,Ole Miss,Auburn,Auburn,Auburn
19,20,West Virginia,Georgia,Wisconsin,Missouri,Oklahoma,Oklahoma,Boise State,Boise State
20,21,Clemson,Clemson,Duke,Oklahoma,Clemson,Louisville,Louisville,Louisville
21,22,UCLA,Duke,Georgia Tech,Clemson,Louisville,Boise State,Utah,Utah
22,23,East Carolina,West Virginia,Utah,Nebraska,Boise State,Utah,LSU,LSU
23,24,Duke,Georgia Tech,Texas A&M;,Louisville,Marshall,LSU,USC,USC
24,25,Louisville,Wisconsin,Minnesota,Minnesota,Utah,USC,Minnesota,Minnesota
