,Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
0,1,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Clemson,Clemson
1,2,Ohio State,Ohio State,Oklahoma,Clemson,Clemson,Clemson,Clemson,Penn State,Penn State,Georgia,Georgia,Miami,Miami,Oklahoma,Oklahoma
2,3,Florida State,Clemson,Clemson,Oklahoma,Oklahoma,Oklahoma,Penn State,Georgia,Georgia,Ohio State,Notre Dame,Oklahoma,Oklahoma,Wisconsin,Georgia
3,4,USC,Penn State,USC,Penn State,Penn State,Penn State,Georgia,TCU,TCU,Wisconsin,Clemson,Clemson,Clemson,Auburn,Alabama
4,5,Clemson,Oklahoma,Penn State,USC,USC,Georgia,Washington,Wisconsin,Wisconsin,Notre Dame,Oklahoma,Wisconsin,Wisconsin,Alabama,Ohio State
5,6,Penn State,USC,Washington,Oklahoma State,Washington,Washington,TCU,Ohio State,Ohio State,Clemson,Wisconsin,Auburn,Auburn,Georgia,Wisconsin
6,7,Oklahoma,Washington,Michigan,Washington,Georgia,Michigan,Wisconsin,Clemson,Clemson,Penn State,Miami,Georgia,Georgia,Miami,Auburn
7,8,Washington,Michigan,Ohio State,Michigan,Michigan,TCU,Washington State,Miami,Miami,Oklahoma,TCU,Ohio State,Ohio State,Ohio State,USC
8,9,Wisconsin,Wisconsin,Oklahoma State,Wisconsin,TCU,Wisconsin,Ohio State,Oklahoma,Notre Dame,Miami,Washington,Notre Dame,Notre Dame,Penn State,Penn State
9,10,Oklahoma State,Florida State,Wisconsin,Ohio State,Wisconsin,Ohio State,Auburn,Oklahoma State,Oklahoma,TCU,Auburn,Oklahoma State,TCU,TCU,UCF
10,11,Michigan,Oklahoma State,Florida State,Georgia,Ohio State,Washington State,Miami,USC,Oklahoma State,Oklahoma State,Ohio State,TCU,USC,USC,Miami
11,12,Auburn,LSU,LSU,Florida State,Virginia Tech,Auburn,Oklahoma,Washington,Washington,Washington,Oklahoma State,USC,Penn State,UCF,Washington
12,13,LSU,Auburn,Georgia,Virginia Tech,Auburn,Miami,USC,Notre Dame,Virginia Tech,Virginia Tech,Michigan State,Penn State,UCF,Washington,TCU
13,14,Stanford,Stanford,Louisville,Miami,Miami,USC,Oklahoma State,Virginia Tech,NC State,Iowa State,UCF,UCF,Washington State,Stanford,Notre Dame
14,15,Georgia,Georgia,Auburn,Auburn,Oklahoma State,Oklahoma State,Virginia Tech,Washington State,Washington State,UCF,USC,Washington State,Washington,Notre Dame,Stanford
15,16,Louisville,Miami,Virginia Tech,TCU,Washington State,Virginia Tech,Notre Dame,NC State,Michigan State,Auburn,Penn State,Washington,Mississippi State,Memphis,LSU
16,17,Florida,Louisville,Miami,Mississippi State,Louisville,Louisville,Michigan,South Florida,South Florida,USC,Virginia Tech,Mississippi State,Memphis,LSU,Oklahoma State
17,18,Miami,Virginia Tech,Kansas State,Washington State,South Florida,South Florida,South Florida,Michigan State,UCF,Stanford,Mississippi State,Memphis,Oklahoma State,Oklahoma State,Michigan State
18,19,South Florida,Kansas State,Stanford,Louisville,San Diego State,San Diego State,San Diego State,Michigan,Auburn,LSU,Washington State,Michigan,LSU,Michigan State,Memphis
19,20,Kansas State,Washington State,TCU,Florida,Utah,Utah,NC State,UCF,Stanford,NC State,Memphis,Stanford,Stanford,Northwestern,Northwestern
20,21,Virginia Tech,South Florida,Washington State,South Florida,Florida,Florida,Michigan State,Auburn,USC,Mississippi State,Michigan,LSU,Michigan State,Washington State,Washington State
21,22,West Virginia,Florida,South Florida,San Diego State,Notre Dame,Notre Dame,UCF,Stanford,West Virginia,Memphis,South Florida,Michigan State,South Florida,Virginia Tech,Virginia Tech
22,23,Texas,TCU,Tennessee,Utah,West Virginia,West Virginia,Stanford,West Virginia,LSU,Arizona,West Virginia,South Florida,Northwestern,South Florida,South Florida
23,24,Washington State,Notre Dame,Florida,Oregon,Mississippi State,NC State,Texas Tech,LSU,Memphis,Michigan State,Iowa State,West Virginia,Virginia Tech,Mississippi State,Mississippi State
24,25,Tennessee,Tennessee,UCLA,LSU,LSU,UCF,Navy,Memphis,Iowa State,Washington State,Iowa,NC State,Boise State,Fresno State,Boise State
