Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-03, VMI, 103, 29, 444, 49, 35, 8, 47, 2, 0, 22, 19, 8, 4, 3, 1653, 36, Ball State, 229, 42, 338, 53, 34, 6, 55, 0, 1, 33, 17, 10, 1, 1, 1947, 48
2015-09-03, FIU, 131, 31, 260, 37, 28, 7, 45, 1, 0, 17, 15, 8, 0, 0, 1797, 15, UCF, 46, 30, 249, 34, 23, 3, 20, 0, 0, 18, 16, 7, 1, 0, 1803, 14
2015-09-03, Oklahoma State, 153, 35, 266, 32, 22, 4, 35, 0, 0, 19, 14, 6, 0, 0, 1588, 24, Cent Michigan, 78, 28, 265, 42, 29, 6, 30, 0, 1, 18, 18, 8, 0, 0, 2012, 13
2015-09-03, Alcorn State, 166, 39, 106, 28, 10, 10, 82, 2, 1, 13, 16, 2, 2, 1, 1915, 6, Georgia Tech, 476, 52, 77, 5, 4, 0, 0, 1, 0, 26, 6, 3, 1, 1, 1685, 69
2015-09-03, Stony Brook, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, Toledo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99
2015-09-03, UNC, 208, 33, 232, 31, 19, 6, 30, 0, 3, 20, 13, 5, 2, 0, 1462, 13, South Carolina, 254, 47, 140, 27, 12, 8, 60, 0, 0, 22, 15, 7, 2, 1, 2138, 17
2015-09-03, Villanova, 114, 36, 189, 33, 18, 5, 45, 1, 1, 18, 17, 9, 3, 1, 1909, 15, UConn, 105, 39, 202, 20, 12, 4, 30, 0, 1, 19, 13, 6, 1, 1, 1691, 20
2015-09-03, Elon, 51, 19, 100, 28, 15, 10, 77, 0, 0, 6, 13, 1, 0, 0, 1268, 3, Wake Forest, 203, 42, 388, 40, 29, 3, 30, 0, 0, 29, 16, 7, 2, 2, 2332, 41
2015-09-04, W Kentucky, 37, 23, 209, 30, 19, 9, 70, 0, 0, 11, 12, 2, 0, 0, 1401, 14, Vanderbilt, 168, 42, 217, 34, 18, 5, 40, 1, 2, 20, 18, 7, 3, 2, 2199, 12
2015-09-04, TCU, 203, 44, 246, 42, 26, 9, 50, 1, 1, 25, 19, 7, 0, 0, 2090, 23, Minnesota, 144, 39, 197, 35, 19, 7, 60, 2, 0, 18, 15, 4, 2, 1, 1510, 17
2015-09-04, URI, 4, 20, 60, 20, 10, 4, 40, 3, 1, 2, 11, 1, 0, 0, 1098, 0, Syracuse, 312, 58, 114, 20, 10, 3, 36, 0, 1, 23, 19, 11, 1, 1, 2414, 47
2015-09-04, Duke, 206, 49, 324, 44, 29, 8, 78, 2, 0, 29, 19, 10, 2, 1, 2161, 37, Tulane, 25, 23, 246, 42, 24, 5, 25, 0, 1, 14, 14, 2, 2, 0, 1439, 7
2015-09-04, Colorado, 215, 53, 158, 39, 23, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 20, Hawaii, 100, 34, 202, 38, 19, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 28
2015-09-04, Michigan, 76, 29, 279, 43, 27, 3, 25, 0, 3, 20, 16, 6, 2, 1, 1841, 17, Utah, 127, 37, 210, 33, 24, 6, 55, 0, 1, 20, 13, 3, 3, 2, 1759, 24
2015-09-04, Southern Utah, 52, 30, 111, 34, 17, 12, 85, 0, 0, 9, 18, 1, 1, 0, 1788, 9, Utah State, 140, 35, 110, 33, 16, 11, 123, 0, 1, 15, 16, 1, 0, 0, 1812, 12
2015-09-04, Fordham, 123, 37, 322, 23, 15, 11, 70, 1, 0, 17, 13, 7, 0, 0, 1748, 37, Army, 256, 42, 133, 16, 7, 3, 26, 1, 1, 21, 11, 6, 2, 0, 1852, 35
2015-09-04, Ohio, 205, 38, 284, 25, 20, 10, 92, 1, 0, 23, 10, 5, 0, 0, 1763, 45, Idaho, 100, 28, 297, 48, 36, 3, 30, 1, 2, 25, 14, 4, 5, 4, 1837, 28
2015-09-04, UC Davis, 89, 27, 238, 47, 32, 4, 31, 0, 0, 22, 18, 9, 2, 1, 2047, 17, Nevada, 232, 39, 163, 23, 13, 6, 50, 0, 0, 22, 10, 6, 1, 0, 1553, 31
2015-09-04, Michigan State, 196, 40, 256, 31, 15, 3, 25, 1, 0, 26, 15, 10, 0, 0, 1699, 37, W Michigan, 18, 23, 365, 50, 33, 8, 77, 0, 2, 22, 18, 8, 2, 2, 1901, 24
2015-09-04, Charlotte, 164, 54, 244, 32, 19, 4, 30, 3, 2, 24, 21, 11, 1, 1, 2037, 23, Georgia State, 93, 26, 299, 43, 25, 10, 79, 2, 1, 16, 15, 3, 2, 1, 1563, 20
2015-09-04, Baylor, 300, 37, 423, 32, 17, 13, 105, 0, 1, 27, 10, 4, 3, 2, 1328, 56, SMU, 203, 54, 166, 24, 16, 5, 40, 0, 2, 22, 15, 7, 2, 1, 2272, 21
